datetime,datetimeUTC,open,close,high,low,volumn
2012/08/31 00:00:00,2012-08-30T16:00:00,1.24974,1.25779,1.26377,1.249235,109979
2012/09/01 00:00:00,2012-08-31T16:00:00,1.25778,1.2579,1.258415,1.25579,18982
2012/09/03 00:00:00,2012-09-02T16:00:00,1.25641,1.2596,1.26115,1.25602,59751
2012/09/04 00:00:00,2012-09-03T16:00:00,1.25959,1.25655,1.26282,1.255495,82261
2012/09/05 00:00:00,2012-09-04T16:00:00,1.25656,1.26024,1.26245,1.25018,112183
2012/09/06 00:00:00,2012-09-05T16:00:00,1.26023,1.26275,1.2652,1.25615,117533
2012/09/07 00:00:00,2012-09-06T16:00:00,1.26276,1.27954,1.28064,1.26259,113376
2012/09/08 00:00:00,2012-09-07T16:00:00,1.27953,1.28164,1.281775,1.278145,16540
2012/09/10 00:00:00,2012-09-09T16:00:00,1.28107,1.27947,1.28127,1.27701,70609
2012/09/11 00:00:00,2012-09-10T16:00:00,1.27948,1.28587,1.287145,1.27545,101132
2012/09/12 00:00:00,2012-09-11T16:00:00,1.28586,1.28931,1.29368,1.28158,122155
2012/09/13 00:00:00,2012-09-12T16:00:00,1.2893,1.2911,1.29315,1.28832,87410
2012/09/14 00:00:00,2012-09-13T16:00:00,1.29111,1.31414,1.31688,1.28571,155520
2012/09/15 00:00:00,2012-09-14T16:00:00,1.31413,1.31287,1.314265,1.30977,21305
2012/09/17 00:00:00,2012-09-16T16:00:00,1.31149,1.31244,1.31721,1.30835,84588
2012/09/18 00:00:00,2012-09-17T16:00:00,1.31243,1.30519,1.31327,1.30375,109018
2012/09/19 00:00:00,2012-09-18T16:00:00,1.30518,1.30705,1.308525,1.29934,113099
2012/09/20 00:00:00,2012-09-19T16:00:00,1.30704,1.29477,1.307565,1.29193,118478
2012/09/21 00:00:00,2012-09-20T16:00:00,1.29484,1.29912,1.30478,1.29374,126484
2012/09/22 00:00:00,2012-09-21T16:00:00,1.29913,1.29798,1.301005,1.29779,13595
2012/09/24 00:00:00,2012-09-23T16:00:00,1.29713,1.29087,1.29914,1.28912,78309
2012/09/25 00:00:00,2012-09-24T16:00:00,1.29086,1.29445,1.29708,1.28862,93927
2012/09/26 00:00:00,2012-09-25T16:00:00,1.29446,1.28527,1.29588,1.28354,101355
2012/09/27 00:00:00,2012-09-26T16:00:00,1.28524,1.28739,1.29006,1.2829,94563
2012/09/28 00:00:00,2012-09-27T16:00:00,1.28738,1.28561,1.29599,1.28388,111148
2012/09/29 00:00:00,2012-09-28T16:00:00,1.2856,1.2861,1.289095,1.284185,19766
2012/10/01 00:00:00,2012-09-30T16:00:00,1.28473,1.28995,1.29389,1.2804,84714
2012/10/02 00:00:00,2012-10-01T16:00:00,1.28996,1.29499,1.2968,1.28772,87224
2012/10/03 00:00:00,2012-10-02T16:00:00,1.29498,1.29086,1.29526,1.28775,88447
2012/10/04 00:00:00,2012-10-03T16:00:00,1.29087,1.30008,1.30123,1.28968,90057
2012/10/05 00:00:00,2012-10-04T16:00:00,1.30009,1.30583,1.30716,1.29941,83609
2012/10/06 00:00:00,2012-10-05T16:00:00,1.30584,1.303795,1.30584,1.301445,13788
2012/10/06 00:00:00,2012-10-05T16:00:00,1.30584,1.303795,1.30584,1.301445,13788
2012/10/08 00:00:00,2012-10-07T16:00:00,1.30266,1.29759,1.30272,1.29378,56705
2012/10/09 00:00:00,2012-10-08T16:00:00,1.29758,1.28742,1.299125,1.28619,80269
2012/10/10 00:00:00,2012-10-09T16:00:00,1.28743,1.2887,1.29135,1.28355,81036
2012/10/11 00:00:00,2012-10-10T16:00:00,1.28871,1.29339,1.29518,1.28256,86074
2012/10/12 00:00:00,2012-10-11T16:00:00,1.29338,1.29452,1.29918,1.29219,67177
2012/10/13 00:00:00,2012-10-12T16:00:00,1.29453,1.29507,1.296215,1.29414,8804
2012/10/15 00:00:00,2012-10-14T16:00:00,1.29469,1.29494,1.29789,1.28906,60151
2012/10/16 00:00:00,2012-10-15T16:00:00,1.29493,1.30349,1.30609,1.29347,75540
2012/10/17 00:00:00,2012-10-16T16:00:00,1.30348,1.31324,1.31395,1.30313,79659
2012/10/18 00:00:00,2012-10-17T16:00:00,1.31325,1.31084,1.31352,1.30795,67634
2012/10/19 00:00:00,2012-10-18T16:00:00,1.31085,1.30221,1.3116,1.3013,70303
2012/10/20 00:00:00,2012-10-19T16:00:00,1.30222,1.30305,1.3033,1.30191,1644
2012/10/22 00:00:00,2012-10-21T16:00:00,1.30214,1.30627,1.30835,1.301555,53422
2012/10/23 00:00:00,2012-10-22T16:00:00,1.30624,1.29706,1.30757,1.29523,72133
2012/10/24 00:00:00,2012-10-23T16:00:00,1.29707,1.29455,1.29969,1.29206,73999
2012/10/25 00:00:00,2012-10-24T16:00:00,1.29456,1.29576,1.30233,1.29408,80893
2012/10/26 00:00:00,2012-10-25T16:00:00,1.29578,1.29369,1.29644,1.28823,83659
2012/10/26 00:00:00,2012-10-25T16:00:00,1.29578,1.29369,1.29644,1.28823,83659
2012/10/27 00:00:00,2012-10-26T16:00:00,1.29368,1.29383,1.29447,1.29226,11623
2012/10/28 23:00:00,2012-10-28T16:00:00,1.29419,1.29053,1.29464,1.28865,45226
2012/10/29 23:00:00,2012-10-29T16:00:00,1.29054,1.29785,1.29835,1.28852,55722
2012/10/30 23:00:00,2012-10-30T16:00:00,1.29786,1.29577,1.302085,1.29466,68715
2012/10/31 23:00:00,2012-10-31T16:00:00,1.29578,1.29369,1.29829,1.29248,68453
2012/11/01 23:00:00,2012-11-01T16:00:00,1.2937,1.2846,1.2951,1.283615,80599
2012/11/02 23:00:00,2012-11-02T16:00:00,1.28458,1.28309,1.28472,1.28213,15313
2012/11/04 23:00:00,2012-11-04T16:00:00,1.28207,1.27826,1.284285,1.276735,65596
2012/11/05 23:00:00,2012-11-05T16:00:00,1.27826,1.28018,1.28193,1.27637,72245
2012/11/06 23:00:00,2012-11-06T16:00:00,1.28019,1.27552,1.28766,1.27364,102771
2012/11/07 23:00:00,2012-11-07T16:00:00,1.27551,1.27268,1.278115,1.271695,94795
2012/11/08 23:00:00,2012-11-08T16:00:00,1.27267,1.27096,1.279035,1.269,96304
2012/11/09 23:00:00,2012-11-09T16:00:00,1.27097,1.27128,1.27271,1.27018,18954
2012/11/11 23:00:00,2012-11-11T16:00:00,1.271175,1.27115,1.273935,1.26977,54121
2012/11/12 23:00:00,2012-11-12T16:00:00,1.27114,1.27105,1.27287,1.266165,83632
2012/11/13 23:00:00,2012-11-13T16:00:00,1.27103,1.27287,1.27568,1.270025,82846
2012/11/14 23:00:00,2012-11-14T16:00:00,1.27288,1.27922,1.28019,1.271745,87773
2012/11/15 23:00:00,2012-11-15T16:00:00,1.27924,1.27055,1.279295,1.26904,79293
2012/11/16 23:00:00,2012-11-16T16:00:00,1.27056,1.27426,1.274595,1.26945,24969
2012/11/18 23:00:00,2012-11-18T16:00:00,1.27416,1.28154,1.282,1.27402,58968
2012/11/19 23:00:00,2012-11-19T16:00:00,1.28155,1.28031,1.28295,1.276485,81469
2012/11/20 23:00:00,2012-11-20T16:00:00,1.28032,1.28186,1.283365,1.27366,89811
2012/11/21 23:00:00,2012-11-21T16:00:00,1.28185,1.28866,1.28989,1.28149,70705
2012/11/22 23:00:00,2012-11-22T16:00:00,1.28867,1.29585,1.296875,1.28576,75728
2012/11/23 23:00:00,2012-11-23T16:00:00,1.29584,1.29741,1.29908,1.29549,16128
2012/11/25 23:00:00,2012-11-25T16:00:00,1.29621,1.29647,1.29846,1.294415,57008
2012/11/26 23:00:00,2012-11-26T16:00:00,1.29648,1.29313,1.30085,1.29156,92867
2012/11/27 23:00:00,2012-11-27T16:00:00,1.29315,1.29097,1.29461,1.28802,85116
2012/11/28 23:00:00,2012-11-28T16:00:00,1.29098,1.29787,1.30136,1.290695,84577
2012/11/29 23:00:00,2012-11-29T16:00:00,1.29789,1.30054,1.302785,1.29453,86546
